Ligne,IBAN
1-4,FR143000401026796233790HH21
5-8,FR7610278017559063452663164
9-12,FR7630456010905837072087327
20-23,FR7620041010312617222178610
24-27,FR7515307018107872468713551
28-31,FR5230004010496744928052051
32-35,FR4610107017099488346385367
36-39,FR2030456016074694120493633
40-43,FR8515307012821972349801235
44-47,FR6318106013783932526252002
48-51,FR5610278016842396883141557
52-55,FR8330004016738670291842889
56-59,FR9730456017590193724081165
60-63,FR9210107016119644330843245
64-67,FR8215307015603779550401327
68-71,FR9718106010440583062753916
72-75,FR7420041010161293350806214
76-79,FR3230003010809184550230026
80-83,FR7130456017792053448481736
84-87,FR4815307016664644375308540
88-91,FR8030004010570349136383458
92-95,FR5410278016520421167825105
96-99,FR4630456016993311146632777
100-103,FR3415307012994379906700753
104-107,FR8320041011886628143531835
108-111,FR6530003013001528730360229
112-115,FR8118106011861077503180268
116-119,FR9510107017523252105491888
120-123,FR8210278018215568807452278
124-127,FR3930004016115746400137245
128-131,FR9830456017103912121523841
132-135,FR0615307015397789407370635
136-139,FR7630003010035858641453924
140-143,FR3320041010781248589209205
144-147,FR3310107016039508778688254
148-151,FR4630456016821900860794521
152-155,FR5315307012111234567890176
156-159,FR6830004015488590969948370
160-163,FR5718106012775367890123421
164-167,FR9410278017223421098765490
168-171,FR9830003014551112223334412
172-175,FR3920041010020500013M02606
176-179,FR7630456016678276437367004
180-183,FR7630456017946220614812792
184-187,FR7615307018468044914499551
188-191,FR7630004016242420204745968
192-195,FR673045601747262863730O056
196-199,FR7620041010312617222178610
200-203,FR7610107016879563594150968
204-207,FR7630004016242420204745968
208-211,FR673045601747262863730O056
212-215,FR8315307012779723805853651
216-219,FR5410278016520421167825105
220-223,FR8330004016738670291842889
224-227,FR9730456017590193724081165
228-231,FR9210107016119644330843245
232-235,FR8215307015603779550401327
236-239,FR9718106010440583062753916
240-243,FR7420041010161293350806214
244-247,FR3230003010809184550230026
248-251,FR7130456017792053448481736
252-255,FR4815307016664644375308540
256-259,FR8030004010570349136383458
260-263,FR5410278016520421167825105
264-267,FR4630456016993311146632777
268-271,FR3415307012994379906700753
272-275,FR8320041011886628143531835
276-279,FR6530003013001528730360229
285-288,FR8118106011861077503180268
289-292,FR9510107017523252105491888
293-296,FR8210278018215568807452278
297-300,FR3930004016115746400137245
301-304,FR9830456017103912121523841
305-308,FR0615307015397789407370635
